date,值
2024-05-27 23:59:56,429.470642
2024-05-27 23:59:36,432.838318
2024-05-27 23:59:16,435.3207
2024-05-27 23:58:56,438.1216
2024-05-27 23:58:36,437.964569
2024-05-27 23:58:16,438.366943
2024-05-27 23:57:56,438.371521
2024-05-27 23:57:36,439.052765
2024-05-27 23:57:16,430.109375
2024-05-27 23:56:56,431.290039
2024-05-27 23:56:36,426.363342
2024-05-27 23:56:16,424.474426
2024-05-27 23:55:56,422.408966
2024-05-27 23:55:36,423.097321
2024-05-27 23:55:16,421.881775
2024-05-27 23:54:56,423.335571
2024-05-27 23:54:36,418.144135
2024-05-27 23:54:16,421.546326
2024-05-27 23:53:56,428.0033
2024-05-27 23:53:36,425.941742
2024-05-27 23:53:16,435.9901
2024-05-27 23:52:56,437.0832
2024-05-27 23:52:36,440.0106
2024-05-27 23:52:16,437.942566
2024-05-27 23:51:56,431.995026
2024-05-27 23:51:36,432.331238
2024-05-27 23:51:16,429.640564
2024-05-27 23:50:56,434.5883
2024-05-27 23:50:36,434.5027
2024-05-27 23:50:16,428.8376
2024-05-27 23:49:56,427.731781
2024-05-27 23:49:36,425.353149
2024-05-27 23:48:16,424.2237
2024-05-27 23:47:56,425.164673
2024-05-27 23:47:35,429.013031
2024-05-27 23:47:15,429.9738
2024-05-27 23:46:55,428.943817
2024-05-27 23:46:35,426.661163
2024-05-27 23:46:15,428.504761
2024-05-27 23:45:55,430.8981
2024-05-27 23:45:35,434.364746
2024-05-27 23:45:15,437.882751
2024-05-27 23:44:55,438.900665
2024-05-27 23:44:35,435.82666
2024-05-27 23:44:15,427.6354
2024-05-27 23:43:55,429.978271
2024-05-27 23:43:35,430.4768
2024-05-27 23:43:15,430.365021
2024-05-27 23:42:55,426.949554
2024-05-27 23:42:35,425.6329
2024-05-27 23:42:15,424.41214
2024-05-27 23:41:55,421.69223
2024-05-27 23:41:35,424.743958
2024-05-27 23:41:15,422.325531
2024-05-27 23:40:55,422.8429
2024-05-27 23:40:35,423.735168
2024-05-27 23:40:15,428.541931
2024-05-27 23:39:55,435.699738
2024-05-27 23:39:35,436.1414
2024-05-27 23:39:15,439.130035
2024-05-27 23:38:55,441.290375
2024-05-27 23:38:35,439.99765
2024-05-27 23:38:15,436.516449
2024-05-27 23:37:55,435.081146
2024-05-27 23:37:35,431.072632
2024-05-27 23:37:15,427.403534
2024-05-27 23:36:55,425.667
2024-05-27 23:36:35,428.7647
2024-05-27 23:36:15,425.3166
2024-05-27 23:35:55,426.278564
2024-05-27 23:35:35,426.390625
2024-05-27 23:35:15,421.120239
2024-05-27 23:34:55,427.119934
2024-05-27 23:34:35,426.8708
2024-05-27 23:34:15,425.0172
2024-05-27 23:33:55,433.3497
2024-05-27 23:33:35,429.9867
2024-05-27 23:33:15,429.2893
2024-05-27 23:32:55,439.352173
2024-05-27 23:32:35,433.929
2024-05-27 23:32:15,434.4834
2024-05-27 23:31:55,435.116943
2024-05-27 23:31:35,430.4324
2024-05-27 23:31:15,427.814972
2024-05-27 23:30:55,431.0404
2024-05-27 23:30:35,427.373016
2024-05-27 23:30:15,429.882782
2024-05-27 23:29:55,426.478455
2024-05-27 23:29:35,427.418335
2024-05-27 23:29:15,422.7663
2024-05-27 23:28:55,423.2654
2024-05-27 23:28:35,423.183533
2024-05-27 23:28:15,422.04068
2024-05-27 23:27:55,421.134827
2024-05-27 23:27:35,423.690979
2024-05-27 23:27:15,429.62265
2024-05-27 23:26:55,427.57016
2024-05-27 23:26:35,433.026917
2024-05-27 23:26:15,436.133331
2024-05-27 23:25:55,441.798035
2024-05-27 23:25:35,444.454468
2024-05-27 23:25:15,440.9331
2024-05-27 23:24:55,442.125336
2024-05-27 23:24:35,442.140137
2024-05-27 23:24:15,438.141937
2024-05-27 23:23:55,427.154755
2024-05-27 23:23:35,424.99408
2024-05-27 23:23:15,419.9243
2024-05-27 23:22:55,418.299652
2024-05-27 23:22:35,418.209167
2024-05-27 23:22:15,422.7753
2024-05-27 23:21:55,421.2009
2024-05-27 23:21:35,429.45874
2024-05-27 23:21:15,430.288025
2024-05-27 23:20:55,439.2572
2024-05-27 23:20:35,434.0536
2024-05-27 23:20:15,439.673157
2024-05-27 23:19:55,433.801453
2024-05-27 23:19:35,434.6779
2024-05-27 23:19:15,427.1012
2024-05-27 23:18:55,430.8525
2024-05-27 23:18:35,431.077026
2024-05-27 23:18:15,428.841431
2024-05-27 23:17:55,428.344818
2024-05-27 23:17:35,427.4668
2024-05-27 23:17:15,431.97406
2024-05-27 23:16:55,428.932434
2024-05-27 23:16:35,427.900269
2024-05-27 23:16:15,428.283081
2024-05-27 23:15:55,434.38327
2024-05-27 23:15:35,429.917358
2024-05-27 23:15:15,429.487518
2024-05-27 23:14:55,429.827484
2024-05-27 23:14:35,430.0553
2024-05-27 23:14:15,426.8715
2024-05-27 23:13:55,430.546936
2024-05-27 23:13:35,430.15918
2024-05-27 23:13:15,427.78302
2024-05-27 23:12:55,431.349731
2024-05-27 23:12:35,432.8449
2024-05-27 23:12:15,430.400238
2024-05-27 23:11:55,425.1052
2024-05-27 23:11:35,430.827942
2024-05-27 23:11:15,430.6648
2024-05-27 23:10:55,428.996521
2024-05-27 23:10:35,431.510223
2024-05-27 23:10:15,437.789063
2024-05-27 23:09:55,430.2273
2024-05-27 23:09:35,436.022278
2024-05-27 23:09:15,433.774658
2024-05-27 23:08:55,429.1041
2024-05-27 23:08:35,425.958984
2024-05-27 23:08:15,425.99176
2024-05-27 23:07:55,424.122375
2024-05-27 23:07:35,425.3634
2024-05-27 23:07:15,422.845581
2024-05-27 23:06:55,422.2327
2024-05-27 23:06:35,426.6396
2024-05-27 23:06:15,429.042877
2024-05-27 23:05:55,430.310333
2024-05-27 23:05:35,430.111053
2024-05-27 23:05:15,435.024
2024-05-27 23:04:55,438.547852
2024-05-27 23:04:35,441.167725
2024-05-27 23:04:15,433.747345
2024-05-27 23:03:55,434.460632
2024-05-27 23:03:35,438.01358
2024-05-27 23:03:15,427.536072
2024-05-27 23:02:55,432.768066
2024-05-27 23:02:35,422.121826
2024-05-27 23:02:15,421.111084
2024-05-27 23:01:55,421.7419
2024-05-27 23:01:34,419.8323
2024-05-27 23:01:14,417.731964
2024-05-27 23:00:54,429.336182
2024-05-27 23:00:34,426.887054
2024-05-27 23:00:14,429.2378
2024-05-27 22:59:54,433.794373
2024-05-27 22:59:34,434.374878
2024-05-27 22:59:14,440.753143
2024-05-27 22:58:54,441.835632
2024-05-27 22:58:34,440.3979
2024-05-27 22:58:14,437.017242
2024-05-27 22:57:54,437.7312
2024-05-27 22:57:34,433.190063
2024-05-27 22:57:14,432.212982
2024-05-27 22:56:54,430.3575
2024-05-27 22:56:34,429.516663
2024-05-27 22:56:14,428.696228
2024-05-27 22:55:54,424.058838
2024-05-27 22:55:34,423.25238
2024-05-27 22:55:14,417.4227
2024-05-27 22:54:54,421.677155
2024-05-27 22:54:34,421.4613
2024-05-27 22:54:14,424.109772
2024-05-27 22:53:54,423.208282
2024-05-27 22:53:34,428.924866
2024-05-27 22:53:14,431.835144
2024-05-27 22:52:54,434.877747
2024-05-27 22:52:34,433.614227
2024-05-27 22:52:14,435.18985
2024-05-27 22:51:54,438.014282
2024-05-27 22:51:34,435.750641
2024-05-27 22:51:14,438.3042
2024-05-27 22:50:54,429.044281
2024-05-27 22:50:34,430.642151
2024-05-27 22:50:14,427.952759
2024-05-27 22:49:54,425.075134
2024-05-27 22:49:34,423.4759
2024-05-27 22:48:09,427.896179
2024-05-27 22:47:49,424.693665
2024-05-27 22:47:29,425.5102
2024-05-27 22:47:09,428.375122
2024-05-27 22:46:49,433.628632
2024-05-27 22:46:29,440.30426
2024-05-27 22:46:09,432.164673
2024-05-27 22:45:49,435.602051
2024-05-27 22:45:29,433.832184
2024-05-27 22:45:09,429.9981
2024-05-27 22:44:49,430.564178
2024-05-27 22:44:29,430.673462
2024-05-27 22:44:09,425.415375
2024-05-27 22:43:49,428.1604
2024-05-27 22:43:29,430.483429
2024-05-27 22:43:09,426.9458
2024-05-27 22:42:49,427.520874
2024-05-27 22:42:29,429.3172
2024-05-27 22:42:09,433.552979
2024-05-27 22:41:49,430.8199
2024-05-27 22:41:29,430.6149
2024-05-27 22:41:09,427.746277
2024-05-27 22:40:49,431.695953
2024-05-27 22:40:29,424.0186
2024-05-27 22:40:09,424.363922
2024-05-27 22:39:49,424.2993
2024-05-27 22:39:29,426.526276
2024-05-27 22:39:09,423.692474
2024-05-27 22:38:49,425.1626
2024-05-27 22:38:29,431.050232
2024-05-27 22:38:09,432.215576
2024-05-27 22:37:49,431.410217
2024-05-27 22:37:29,440.419525
2024-05-27 22:37:09,438.1188
2024-05-27 22:36:49,437.383148
2024-05-27 22:36:29,438.10434
2024-05-27 22:36:09,435.18573
2024-05-27 22:35:49,432.376221
2024-05-27 22:35:29,428.1371
2024-05-27 22:35:09,430.19043
2024-05-27 22:34:49,424.852325
2024-05-27 22:34:29,421.402649
2024-05-27 22:34:09,416.76236
2024-05-27 22:33:49,420.7447
2024-05-27 22:33:29,423.132324
2024-05-27 22:33:09,426.305878
2024-05-27 22:32:49,434.7407
2024-05-27 22:32:29,430.219269
2024-05-27 22:32:09,437.583771
2024-05-27 22:31:49,440.435577
2024-05-27 22:31:29,442.0979
2024-05-27 22:31:09,439.581848
2024-05-27 22:30:49,442.344666
2024-05-27 22:30:29,442.0588
2024-05-27 22:30:09,438.635223
2024-05-27 22:29:49,434.336548
2024-05-27 22:29:29,429.543671
2024-05-27 22:29:09,425.518524
2024-05-27 22:28:49,426.2582
2024-05-27 22:28:29,426.3254
2024-05-27 22:28:09,422.302429
2024-05-27 22:27:49,419.3824
2024-05-27 22:27:29,421.55896
2024-05-27 22:27:09,423.837616
2024-05-27 22:26:49,418.680023
2024-05-27 22:26:29,427.144958
2024-05-27 22:26:09,425.191345
2024-05-27 22:25:49,433.0083
2024-05-27 22:25:29,436.413269
2024-05-27 22:25:09,438.637817
2024-05-27 22:24:49,438.205475
2024-05-27 22:24:29,439.6667
2024-05-27 22:24:09,440.56134
2024-05-27 22:23:49,437.077026
2024-05-27 22:23:29,429.942932
2024-05-27 22:23:09,427.412018
2024-05-27 22:22:49,435.384918
2024-05-27 22:22:29,430.63916
2024-05-27 22:22:09,423.501221
2024-05-27 22:21:49,421.011383
2024-05-27 22:21:29,421.6821
2024-05-27 22:21:09,419.7747
2024-05-27 22:20:49,418.035431
2024-05-27 22:20:29,424.287537
2024-05-27 22:20:09,427.285522
2024-05-27 22:19:49,428.524872
2024-05-27 22:19:29,435.709259
2024-05-27 22:19:09,440.765137
2024-05-27 22:18:49,437.067261
2024-05-27 22:18:29,439.917175
2024-05-27 22:18:09,437.567627
2024-05-27 22:17:49,435.778656
2024-05-27 22:17:29,431.751953
2024-05-27 22:17:09,428.115936
2024-05-27 22:16:49,427.768433
2024-05-27 22:16:29,424.8047
2024-05-27 22:16:09,428.2827
2024-05-27 22:15:49,431.893524
2024-05-27 22:15:29,429.0303
2024-05-27 22:15:09,432.484039
2024-05-27 22:14:49,428.580261
2024-05-27 22:14:29,432.248627
2024-05-27 22:14:09,429.413
2024-05-27 22:13:49,432.224457
2024-05-27 22:13:29,428.620148
2024-05-27 22:13:08,431.413147
2024-05-27 22:12:48,432.524475
2024-05-27 22:12:28,429.356323
2024-05-27 22:12:08,426.635773
2024-05-27 22:11:48,430.154266
2024-05-27 22:11:28,428.624146
2024-05-27 22:11:08,428.496674
2024-05-27 22:10:48,433.5917
2024-05-27 22:10:28,431.656921
2024-05-27 22:10:08,433.56366
2024-05-27 22:09:48,430.66925
2024-05-27 22:09:28,427.532166
2024-05-27 22:09:08,425.458466
2024-05-27 22:08:48,425.016724
2024-05-27 22:08:28,426.1836
2024-05-27 22:08:08,426.640228
2024-05-27 22:07:48,428.492828
2024-05-27 22:07:28,432.0044
2024-05-27 22:07:08,427.012756
2024-05-27 22:06:48,430.664154
2024-05-27 22:06:28,431.374
2024-05-27 22:06:08,431.778564
2024-05-27 22:05:48,435.170258
2024-05-27 22:05:28,437.162537
2024-05-27 22:05:08,433.021973
2024-05-27 22:04:48,436.538757
2024-05-27 22:04:28,435.018036
2024-05-27 22:04:08,433.592529
2024-05-27 22:03:48,427.767761
2024-05-27 22:03:28,426.276154
2024-05-27 22:03:08,424.611633
2024-05-27 22:02:48,423.803833
2024-05-27 22:02:28,429.063141
2024-05-27 22:02:08,424.911865
2024-05-27 22:01:48,430.513245
2024-05-27 22:01:28,432.999268
2024-05-27 22:01:08,432.792
2024-05-27 22:00:48,433.662842
2024-05-27 22:00:28,435.960266
2024-05-27 22:00:08,431.949341
2024-05-27 21:59:48,430.570862
2024-05-27 21:59:28,433.9943
2024-05-27 21:59:08,431.5214
2024-05-27 21:58:48,428.656219
2024-05-27 21:58:28,428.159241
2024-05-27 21:58:08,428.2994
2024-05-27 21:57:48,422.841248
2024-05-27 21:57:28,425.8781
2024-05-27 21:57:08,427.349274
2024-05-27 21:56:48,427.689026
2024-05-27 21:56:28,432.2262
2024-05-27 21:56:08,433.731171
2024-05-27 21:55:48,437.802216
2024-05-27 21:55:28,434.333679
2024-05-27 21:55:08,440.512115
2024-05-27 21:54:48,430.803528
2024-05-27 21:54:28,434.959076
2024-05-27 21:54:08,431.33197
2024-05-27 21:53:48,430.359375
2024-05-27 21:53:28,429.560028
2024-05-27 21:53:08,424.6865
2024-05-27 21:52:48,427.3238
2024-05-27 21:52:28,423.400848
2024-05-27 21:52:08,428.55954
2024-05-27 21:51:48,422.8897
2024-05-27 21:51:28,426.456451
2024-05-27 21:51:08,427.9451
2024-05-27 21:50:48,431.772583
2024-05-27 21:50:28,437.665863
2024-05-27 21:50:08,437.011169
2024-05-27 21:49:48,435.271149
2024-05-27 21:48:28,428.105469
2024-05-27 21:48:08,430.77774
2024-05-27 21:47:48,433.0457
2024-05-27 21:47:28,434.72583
2024-05-27 21:47:08,428.997284
2024-05-27 21:46:48,428.486755
2024-05-27 21:46:28,422.437531
2024-05-27 21:46:08,427.860046
2024-05-27 21:45:48,426.8475
2024-05-27 21:45:28,426.384766
2024-05-27 21:45:08,425.9815
2024-05-27 21:44:48,425.334351
2024-05-27 21:44:28,427.9915
2024-05-27 21:44:08,432.152771
2024-05-27 21:43:48,431.6463
2024-05-27 21:43:28,432.044464
2024-05-27 21:43:08,435.171173
2024-05-27 21:42:48,431.383881
2024-05-27 21:42:28,435.671417
2024-05-27 21:42:08,430.477722
2024-05-27 21:41:48,432.061554
2024-05-27 21:41:28,428.5471
2024-05-27 21:41:08,433.350433
2024-05-27 21:40:48,437.394836
2024-05-27 21:40:28,430.246918
2024-05-27 21:40:08,426.043945
2024-05-27 21:39:48,428.077057
2024-05-27 21:39:28,426.3745
2024-05-27 21:39:08,422.422852
2024-05-27 21:38:48,422.365936
2024-05-27 21:38:28,427.9541
2024-05-27 21:38:08,430.006042
2024-05-27 21:37:48,435.3175
2024-05-27 21:37:28,434.739624
2024-05-27 21:37:08,438.060669
2024-05-27 21:36:48,433.1991
2024-05-27 21:36:28,438.178925
2024-05-27 21:36:08,434.442169
2024-05-27 21:35:48,436.536224
2024-05-27 21:35:28,436.167633
2024-05-27 21:35:08,433.861359
2024-05-27 21:34:48,425.571442
2024-05-27 21:34:28,427.229065
2024-05-27 21:34:08,423.756165
2024-05-27 21:33:48,430.656982
2024-05-27 21:33:28,424.5403
2024-05-27 21:33:08,430.433136
2024-05-27 21:32:48,428.200623
2024-05-27 21:32:28,423.682617
2024-05-27 21:32:08,421.1924
2024-05-27 21:31:48,421.9762
2024-05-27 21:31:28,425.2165
2024-05-27 21:31:08,433.7299
2024-05-27 21:30:48,429.648
2024-05-27 21:30:28,432.878082
2024-05-27 21:30:08,433.0916
2024-05-27 21:29:48,436.609528
2024-05-27 21:29:28,436.595917
2024-05-27 21:29:08,437.265625
2024-05-27 21:28:48,437.9165
2024-05-27 21:28:28,433.5071
2024-05-27 21:28:08,429.944672
2024-05-27 21:27:48,429.626038
2024-05-27 21:27:28,431.551422
2024-05-27 21:27:08,429.179382
2024-05-27 21:26:48,425.196747
2024-05-27 21:26:28,428.075378
2024-05-27 21:26:08,424.543976
2024-05-27 21:25:48,422.8044
2024-05-27 21:25:28,420.014954
2024-05-27 21:25:08,425.544647
2024-05-27 21:24:48,430.164459
2024-05-27 21:24:28,428.416351
2024-05-27 21:24:08,435.089264
2024-05-27 21:23:48,433.029053
2024-05-27 21:23:27,439.335815
2024-05-27 21:23:07,434.3532
2024-05-27 21:22:47,434.567169
2024-05-27 21:22:27,433.29007
2024-05-27 21:22:07,436.136932
2024-05-27 21:21:47,432.0788
2024-05-27 21:21:27,435.066223
2024-05-27 21:21:07,429.684143
2024-05-27 21:20:47,435.3426
2024-05-27 21:20:27,430.184662
2024-05-27 21:20:07,430.1225
2024-05-27 21:19:47,427.679169
2024-05-27 21:19:27,424.3476
2024-05-27 21:19:07,427.705261
2024-05-27 21:18:47,424.895721
2024-05-27 21:18:27,419.320343
2024-05-27 21:18:07,420.440674
2024-05-27 21:17:47,422.817352
2024-05-27 21:17:27,427.444458
2024-05-27 21:17:07,433.240143
2024-05-27 21:16:47,433.3766
2024-05-27 21:16:27,433.956
2024-05-27 21:16:07,437.832916
2024-05-27 21:15:47,438.601135
2024-05-27 21:15:27,437.103577
2024-05-27 21:15:07,434.5791
2024-05-27 21:14:47,429.5932
2024-05-27 21:14:27,430.012543
2024-05-27 21:14:07,423.254974
2024-05-27 21:13:47,427.196655
2024-05-27 21:13:27,421.453827
2024-05-27 21:13:07,421.332275
2024-05-27 21:12:47,419.6692
2024-05-27 21:12:27,424.8758
2024-05-27 21:12:07,425.418457
2024-05-27 21:11:47,432.416443
2024-05-27 21:11:27,441.050568
2024-05-27 21:11:07,441.277466
2024-05-27 21:10:47,438.9343
2024-05-27 21:10:27,437.667
2024-05-27 21:10:07,437.184845
2024-05-27 21:09:47,439.082062
2024-05-27 21:09:27,435.365784
2024-05-27 21:09:07,433.367432
2024-05-27 21:08:47,424.1632
2024-05-27 21:08:27,420.7637
2024-05-27 21:08:07,418.939453
2024-05-27 21:07:47,419.624268
2024-05-27 21:07:27,419.9387
2024-05-27 21:07:07,422.155273
2024-05-27 21:06:47,425.5423
2024-05-27 21:06:27,430.30368
2024-05-27 21:06:07,431.5099
2024-05-27 21:05:47,432.4117
2024-05-27 21:05:27,435.720428
2024-05-27 21:05:07,434.372375
2024-05-27 21:04:47,435.572754
2024-05-27 21:04:27,431.3081
2024-05-27 21:04:07,438.631165
2024-05-27 21:03:47,433.577637
2024-05-27 21:03:27,432.220245
2024-05-27 21:03:07,428.4609
2024-05-27 21:02:47,428.209473
2024-05-27 21:02:27,429.421661
2024-05-27 21:02:07,425.236
2024-05-27 21:01:47,425.642548
2024-05-27 21:01:27,425.757141
2024-05-27 21:01:07,420.500031
2024-05-27 21:00:47,420.879028
2024-05-27 21:00:27,425.315979
2024-05-27 21:00:07,423.392242
2024-05-27 20:59:47,433.952759
2024-05-27 20:59:27,431.30957
2024-05-27 20:59:07,437.096649
2024-05-27 20:58:47,433.991333
2024-05-27 20:58:27,431.054
2024-05-27 20:58:07,435.4622
2024-05-27 20:57:47,440.9452
2024-05-27 20:57:27,431.335541
2024-05-27 20:57:07,433.235382
2024-05-27 20:56:47,433.859558
2024-05-27 20:56:27,432.797852
2024-05-27 20:56:07,432.550354
2024-05-27 20:55:47,429.436249
2024-05-27 20:55:27,433.2604
2024-05-27 20:55:07,428.828369
2024-05-27 20:54:47,426.4871
2024-05-27 20:54:27,427.69397
2024-05-27 20:54:07,422.7451
2024-05-27 20:53:47,422.4387
2024-05-27 20:53:27,419.274933
2024-05-27 20:53:07,420.359863
2024-05-27 20:52:47,424.544556
2024-05-27 20:52:27,430.110565
2024-05-27 20:52:07,430.901031
2024-05-27 20:51:47,433.036743
2024-05-27 20:51:27,437.801147
2024-05-27 20:51:07,442.4131
2024-05-27 20:50:47,437.068939
2024-05-27 20:50:27,436.3519
2024-05-27 20:50:07,435.987518
2024-05-27 20:49:47,435.488739
2024-05-27 20:48:27,422.086578
2024-05-27 20:48:07,425.849945
2024-05-27 20:47:47,422.643463
2024-05-27 20:47:27,416.125122
2024-05-27 20:47:07,419.451141
2024-05-27 20:46:47,427.738159
2024-05-27 20:46:27,423.3931
2024-05-27 20:46:07,423.945648
2024-05-27 20:45:47,425.519531
2024-05-27 20:45:27,434.5023
2024-05-27 20:45:07,440.4504
2024-05-27 20:44:47,440.657928
2024-05-27 20:44:27,439.489471
2024-05-27 20:44:07,439.989166
2024-05-27 20:43:47,437.876678
2024-05-27 20:43:27,435.056549
2024-05-27 20:43:07,428.5881
2024-05-27 20:42:47,431.930176
2024-05-27 20:42:27,431.117279
2024-05-27 20:42:07,428.978363
2024-05-27 20:41:47,428.895569
2024-05-27 20:41:27,430.413818
2024-05-27 20:41:07,427.4808
2024-05-27 20:40:47,429.2353
2024-05-27 20:40:27,429.404
2024-05-27 20:40:07,425.511841
2024-05-27 20:39:47,425.7803
2024-05-27 20:39:27,424.387634
2024-05-27 20:39:07,430.09494
2024-05-27 20:38:47,429.302246
2024-05-27 20:38:27,432.4405
2024-05-27 20:38:07,433.117645
2024-05-27 20:37:47,430.2786
2024-05-27 20:37:27,432.904053
2024-05-27 20:37:07,432.880585
2024-05-27 20:36:47,432.160339
2024-05-27 20:36:27,428.324951
2024-05-27 20:36:07,433.481781
2024-05-27 20:35:47,432.443237
2024-05-27 20:35:27,429.6605
2024-05-27 20:35:07,432.9597
2024-05-27 20:34:47,431.676117
2024-05-27 20:34:27,430.6696
2024-05-27 20:34:07,430.978271
2024-05-27 20:33:47,424.614838
2024-05-27 20:33:27,424.658478
2024-05-27 20:33:07,429.0745
2024-05-27 20:32:47,430.0715
2024-05-27 20:32:27,428.401184
2024-05-27 20:32:07,429.7505
2024-05-27 20:31:46,435.6078
2024-05-27 20:31:26,434.605682
2024-05-27 20:31:06,432.079834
2024-05-27 20:30:46,436.3727
2024-05-27 20:30:26,434.259583
2024-05-27 20:30:06,433.5085
2024-05-27 20:29:46,435.8139
2024-05-27 20:29:26,432.155579
2024-05-27 20:29:06,429.1267
2024-05-27 20:28:46,428.7377
2024-05-27 20:28:26,427.7022
2024-05-27 20:28:06,425.736633
2024-05-27 20:27:46,427.246521
2024-05-27 20:27:26,421.729218
2024-05-27 20:27:06,421.623352
2024-05-27 20:26:46,422.539642
2024-05-27 20:26:26,423.750244
2024-05-27 20:26:06,425.038727
2024-05-27 20:25:46,432.881348
2024-05-27 20:25:26,431.46817
2024-05-27 20:25:06,434.865265
2024-05-27 20:24:46,440.234253
2024-05-27 20:24:26,432.146484
2024-05-27 20:24:06,438.6298
2024-05-27 20:23:46,434.7216
2024-05-27 20:23:26,441.273682
2024-05-27 20:23:06,434.827
2024-05-27 20:22:46,430.622131
2024-05-27 20:22:26,430.585236
2024-05-27 20:22:06,431.68042
2024-05-27 20:21:46,428.56897
2024-05-27 20:21:26,430.790771
2024-05-27 20:21:06,426.3385
2024-05-27 20:20:46,428.400848
2024-05-27 20:20:26,419.77002
2024-05-27 20:20:06,422.838226
2024-05-27 20:19:46,429.701752
